1.wav|an22 ts2 oo22 tsch2 i21
39.wav|k2 ieu22 v2 an25 f2 i23 ooi23 t2 oo23 n2 ai23 v2 i23 n2 a21 iook28 e22
40.wav|n25 t2 oo23 k2 e23 ph2 ien22 iook28 f2 oong25 n2 a21 iook28 e22
41.wav|iook28 f2 oong25 ooi23 gn2 ioong22 p2 an21 h2 ang25
42.wav|n25 tsh2 irt28 tsh2 irt28 h2 ang25 t2 en22 h2 i23 t2 i23 ts2 oo22 s2 u22 ph2 ien22
43.wav|n25 iu21 n2 ai23 v2 i23 m25 s2 ung21 s2 oong22
44.wav|ia22 l2 ioong22 s2 am21 gn2 it24 l2 ooi25 tsh2 oong25 th2 eu23 v2 ooi23 k2 am22 k2 ook24 t2 oo22 v2 i23 th2 ung23 h2 an25 k2 oo23 oo21 l2 i23 t2 u22
45.wav|m2 a22 k2 e23 s2 ir25 tsc2 iet24 v2 ooi23 k2 am22 k2 ook24 t2 oo22 v2 i23 th2 ung23 l2 au21 oo21 l2 i23 t2 u22
46.wav|iau21 k2 e23 s2 ir25 tsc2 iet24 v2 ooi23 k2 am22 k2 ook24 t2 oo22 th2 ung23
47.wav|oo21 l2 i23 t2 u22 iu21 s2 ir25 v2 ooi23 oo21 sc2 ia23 p2 a21 iu21 s2 ir25 v2 ooi23 oo21 s2 ui22 sc2 ia23
48.wav|n25 ts2 ui23 kh2 iun21 iu21 s2 irt28 n2 ai23 t2 eu21 t2 ung21 sc2 i21
49.wav|tsch2 ien25 l2 ioong22 gn2 it24 iu21 h2 i23 tsh2 oon21 th2 ang21 s2 irt28 h2 ooi22 s2 an22
50.wav|ts2 eu23 gn2 ia21 k2 e23 ts2 irn23 th2 eu25 kh2 oon23 l2 ooi25 h2 e23 k2 ip24 sc2 in23 v2 i23 tsh2 oong25 iam25
51.wav|k2 e23 ooi23 gn2 ioong22 p2 an21 l2 ooi25 tsh2 ir23 l2 iau25
52.wav|ng2 ai25 kh2 ooi21 ts2 ak24 tsh2 u22 f2 oong21 p2 un21 n25 sc2 ien21 h2 i23 n2 a21 iook28 e22 s2 irt28
53.wav|ooi23 k2 i23 t2 et24 m25 h2 oo22 s2 irt28 tsch2 iuk24 k2 it24 sc2 in23 k2 e23 s2 irt28 v2 ut28
54.wav|n2 a23 h2 e23 m2 oo25 h2 a23 h2 oo22 k2 i23 t2 et24 ts2 ai23 k2 oo23 ts2 oon22 l2 ooi25 kh2 oon23
55.wav|tsch2 iang22 m2 un23 i21 ien23 iu21 n2 ai23 k2 i23 kh2 oo21 m2 un25 ts2 irn21
56.wav|tsh2 a21 f2 oo23 ooi23 kh2 oon23 n2 ai23 kh2 oo21
57.wav|tsch2 iang22 m2 un23 k2 uan21 tsc2 iet24 iam25 ooi23 k2 ua23 n2 ai23 kh2 oo21
58.wav|h2 e23 n2 ai23 ts2 ung22 k2 e23 k2 uan21 tsc2 iet24 iam25
59.wav|m2 uk24 tsch2 ien25 iu21 m2 a22 k2 e23 ts2 irn23 th2 eu25 tsh2 ut24 h2 ien23
60.wav|h2 e23 f2 ung21 s2 irp24 sc2 in23 k2 uan21 tsc2 iet24 iam25
61.wav|ts2 ui23 kh2 iun21 f2 ung21 s2 irp24 th2 ung23 kh2 ooi21 s2 ir22 f2 at24 ts2 ook24
62.wav|oo21 gn2 iau23 k2 e23 s2 ir25 tsc2 iet24 v2 ooi23 th2 ung23 gn2 iau23 iu21 h2 iet24
63.wav|n25 ts2 oo23 t2 et24 k2 ua23 m2 ien21 it28 f2 ung21 s2 irp24 m2 un25 ts2 irn21
64.wav|k2 ien23 gn2 i23 n25 k2 ua23 p2 i23 gn2 iau23 kh2 oo21 m2 un25 ts2 irn21
65.wav|n25 n2 ai23 v2 i23 k2 am22 k2 ook24 m25 s2 ung21 s2 oong22
66.wav|n2 ai23 v2 i23 k2 am22 k2 ook24 t2 oo22 iu21 m2 un23 th2 i25
67.wav|h2 e23 gn2 ioong22 p2 an21 k2 e23 m25 s2 ung21 s2 oong22
68.wav|m25 s2 ung21 s2 oong22 k2 e23 tsch2 in25 h2 in25 h2 e23 m2 a22 k2 e23 s2 ir25 tsc2 iet24 kh2 ooi21 s2 ir22
69.wav|gn2 in25 k2 am22 k2 ook24 t2 oo22 m25 s2 ung21 s2 oong22 iu21 k2 i22 k2 iu22 l2 e22
70.wav|m2 a22 k2 e23 tsch2 in25 h2 in25 ts2 ir21 h2 a21 v2 ooi23 k2 am22 k2 ook24 t2 oo22 h2 a23 m25 s2 ung21 s2 oong22
71.wav|m2 a22 k2 e23 tsch2 in25 h2 in25 ts2 ir21 h2 a21 v2 ooi23 k2 am22 k2 ook24 t2 oo22 m2 oo25 an22 s2 ung21 s2 oong22
72.wav|n25 n2 ai23 v2 i23 v2 ooi23 th2 ung23
73.wav|h2 e23 gn2 ioong22 p2 an21 th2 ung23
74.wav|m2 a22 k2 e23 s2 ir25 tsc2 iet24 kh2 ooi21 s2 ir22 th2 ung23
75.wav|th2 ung23 k2 i22 k2 iu22
76.wav|m2 a22 k2 e23 tsch2 in25 h2 in25 ts2 ir21 h2 a21 v2 ooi23 k2 am22 k2 ook24 t2 oo22 h2 a23 th2 ung23
77.wav|m2 a22 k2 e23 tsch2 in25 h2 in25 ts2 ir21 h2 a21 v2 ooi23 k2 am22 k2 ook24 t2 oo22 m2 oo25 an22 th2 ung23
78.wav|tsch2 iang22 m2 un23 n25 iu21 n2 ai23 v2 i23 k2 am22 k2 ook24 t2 oo22 h2 a23 m25 s2 ung21 s2 oong22
79.wav|ng2 ai25 k2 am22 k2 ook24 ts2 oo22 k2 iook24 v2 ooi23 p2 i23 l2 au21 tsh2 ir23 th2 ung23
80.wav|ia22 ts2 ung22 tsch2 in25 h2 in25 h2 e23 k2 i22 s2 ir25 kh2 ooi21 s2 ir22 k2 e23
81.wav|th2 ai23 iook24 iu21 p2 an23 gn2 ien25 l2 e22
82.wav|m2 a22 k2 e23 s2 ir25 tsc2 iet24 p2 un21 n25 k2 am22 k2 ook24 t2 oo22 h2 a23 gn2 iam25 tsh2 ung23
83.wav|th2 it28 ph2 iet28 h2 e23 k2 iu22 tsh2 oo21 m2 oo25 tsch2 iu23 kh2 i21 k2 iu22 ts2 ir21 h2 eu23
84.wav|k2 in21 k2 oo23 ts2 ook24 l2 iung25 l2 au21 gn2 iet28 f2 u21 h2 eu23 v2 ooi23 k2 am22 k2 ook24 t2 oo22 h2 a21 s2 ung21 s2 oong22
85.wav|m25 s2 ung21 s2 oong22 k2 e23 s2 ir25 tsc2 iet24 s2 irt24 s2 ir22 iung23 m2 a22 k2 e23 iook28 e22 m2 oo25
86.wav|iu21 s2 ang25 s2 ir25 v2 ooi23 s2 irt28 ph2 u21 n2 a21 th2 en25
87.wav|ia22 ts2 ung22 iook28 e22 h2 e23 gn2 ioong22 p2 an21 l2 ooi25 k2 e23
88.wav|h2 e23 t2 oo23 ng2 a21 v2 uk24 h2 a21 f2 u23 kh2 iun21 ts2 irn21 s2 oo22 k2 e23 i21 s2 en21 kh2 ooi21 k2 e23
89.wav|gn2 ia21 k2 e23 iook28 e22 iu21 t2 ai23 l2 ooi25 m2 oo25
90.wav|t2 i23 t2 ai23 ien23 kh2 i25 k2 ien21 tsch2 iu23 ooi23 f2 uk28 iung23 i21 ien23 i21 s2 en21 kh2 ooi21 k2 e23 iook28 e22
91.wav|tsch2 iang22 m2 un23 n25 ia22 h2 a23 iu21 n2 ai23 v2 i23 k2 am22 k2 ook24 t2 oo22 m25 s2 ung21 s2 oong23
92.wav|t2 u22 s2 ir22 k2 e23 v2 i23 v2 ooi23 th2 ung23
93.wav|h2 e23 gn2 ioong22 p2 an21 th2 ung23
94.wav|v2 ooi23 sc2 iu25 sc2 iu25 sc2 iu23 sc2 iu23
95.wav|m2 a22 k2 e23 tsch2 in25 h2 in25 ts2 ir21 h2 a21 v2 ooi23 p2 un21 n25 k2 am22 k2 ook24 t2 oo22 h2 a23 th2 ung23
96.wav|s2 irt28 p2 au22 f2 an23 h2 eu23 v2 ooi23 h2 an25 kh2 a23 th2 ung23
97.wav|ts2 u23 s2 a23 h2 eu23 n25 k2 am22 k2 ook24 t2 oo22 gn2 ioong22 e22
98.wav|m2 oo25 an22 th2 ung23 l2 e21
99.wav|k2 e23 n25 ooi23 h2 oo22 h2 oo22 h2 iet24 kh2 un23
100.wav|n25 th2 eu25 p2 ai22 iu21 tsh2 ook28 k2 oo23 m2 a22 k2 e23 ph2 iang23 m2 oo25
101.wav|n25 th2 eu25 p2 ai22 s2 irt24 tsh2 u23 k2 oo23 ph2 iang23 ien23 m2 oo25
102.wav|n25 th2 eu25 p2 ai22 h2 e23 m25 h2 e23 s2 irt24 kh2 ooi21 t2 oo21 k2 oo23
103.wav|n25 th2 eu25 p2 ai22 h2 e23 m25 h2 e23 s2 irt24 tsh2 ook28 ph2 iang23 tsh2 u23 k2 oo23 ph2 iang23 ien23
104.wav|n25 iu21 in21 v2 i23 kh2 i25 th2 a21 k2 e23 ph2 iang23 tsh2 u23 k2 oo23 ph2 iang23 ien23 m2 oo25
105.wav|tsch2 iang22 m2 un23 n25 s2 irt24 tsh2 ook28 k2 oo23 m2 a22 k2 e23 m2 an23 sc2 in23 ph2 iang23 m2 oo25
106.wav|m25 k2 oo23 ts2 ui23 kh2 iun21 h2 iet24 ap24 iu21 h2 a23 k2 oo21 t2 eu21
107.wav|h2 iet24 ap24 h2 e23 k2 i22 t2 oo21
108.wav|iu21 s2 ir25 k2 oo21 k2 e23 h2 e23 it24 p2 ak24 sc2 i23 s2 irp28 t2 ai21 k2 e23 h2 e23 k2 iu22 s2 irp28
109.wav|h2 e23 ts2 irn23 s2 oong25 ia23 h2 e23 ts2 irn23 s2 oong25
110.wav|h2 e23 p2 i22 ts2 irn23 s2 oong25 k2 e23 h2 a23 k2 oo21 it24 t2 eu21
111.wav|t2 i23 tsh2 u23 ien23 kh2 i25 k2 ien21 v2 ooi23 th2 it28 ph2 iet28 ts2 u23 i23 n25 ia22 f2 oong21 m2 ien23 k2 e23 m2 un23 th2 i25
112.wav|tsch2 iang22 m2 un23 n25 th2 eu25 p2 ai22 s2 irt24 tsh2 u23 ien23 k2 oo23 m2 oo25
113.wav|it24 gn2 ien25 tsch2 ien25 in21 v2 i23 m2 oo21 tsh2 oong25 iam25 tsh2 u23 k2 oo23 ien23 kh2 ooi21 t2 oo21
114.wav|h2 e23 m25 h2 e23 h2 an25 iu21 in21 v2 i23 kh2 i25 th2 a21 k2 e23 ph2 iang23 ts2 irn23 tsh2 u23 k2 oo23 ien23
115.wav|ng2 ai25 s2 irt24 in21 v2 i23 tsh2 ung23 k2 am22 m2 oo23 f2 at24 k2 oo21 s2 eu21 gn2 ip28 ien23 tsh2 ir23 l2 iau25
116.wav|ng2 ai25 sc2 ioong22 in23 k2 ooi21 tsch2 iu23 h2 e23 an22 gn2 ioong25 th2 in23 th2 in23
117.wav|tsch2 iang22 m2 un23 n25 s2 irt24 tsh2 ook28 k2 oo23 k2 ut24 tsc2 iet24 iam25 m2 oo25
118.wav|t2 i23 s2 am21 gn2 ien25 tsch2 ien25 iu21 tsh2 ook28 k2 oo23 th2 ung23 f2 ung21
119.wav|iu21 tsh2 ir23 l2 iau25 k2 oo23 m2 oo25
120.wav|iu21 kh2 oon23 k2 oo23 i21 s2 en21 s2 irt28 iook28 e22 h2 eu21 iu21 k2 ooi22 s2 an23
121.wav|ia22 h2 a23 iu21 ts2 ai23 k2 oo23 f2 at24 ts2 ook24 m2 oo25
122.wav|ts2 ui23 kh2 iun21 m2 oo25
123.wav|k2 e23 n25 s2 irt28 t2 ung21 sc2 i21 ooi23 ts2 u23 i23 kh2 ung22 ts2 ir23 ts2 ang23 h2 oo22
124.wav|ng2 ai25 v2 ooi23 ts2 u23 i23
125.wav|gn2 ia21 k2 a21 tsh2 uk28 k2 e23 gn2 in25 s2 irt24 t2 et24 k2 oo23 n2 ai23 t2 eu21 ph2 iang23
126.wav|n2 ai23 t2 eu21 ph2 iang23 h2 e23 v2 i25 tsh2 oon25 sc2 in23 k2 e23 ph2 iang23
127.wav|s2 oong25 k2 ien23 k2 e23 v2 i25 tsh2 oon25 ph2 iang23 iu21 n2 ai23 t2 eu21
128.wav|v2 i25 tsh2 oon25 k2 e23 ph2 iang23 iu21 p2 au21 h2 am25 ng2 am25 ts2 irn23 m2 oo25
129.wav|k2 a21 tsh2 uk28 t2 u22 iu21 m2 a22 gn2 in25 tsh2 ook28 k2 oo23 v2 i25 tsh2 oon25 sc2 in23 k2 e23 ph2 iang23
130.wav|k2 oo21 h2 iet24 ap24 ts2 ung23 f2 ung21 h2 e23 s2 oon23 v2 i25 tsh2 oon25 sc2 in23 k2 e23 ph2 iang23 m2 oo25
131.wav|th2 oong25 gn2 iau23 ph2 iang23 h2 e23 v2 i25 tsh2 oon25 sc2 in23 k2 e23 ph2 iang23 m2 oo25
132.wav|gn2 ia21 k2 e23 k2 a21 tsh2 uk28 t2 u22 iu21 gn2 in25 t2 et24 k2 oo23 th2 oong25 gn2 iau23 ph2 iang23 m2 oo25
133.wav|gn2 ia21 k2 e23 k2 a21 tsh2 uk28 iu21 gn2 in25 t2 et24 k2 oo23 tsc2 in21 s2 irn25 ph2 iang23 m2 oo25
134.wav|gn2 ia21 k2 e23 k2 a21 tsh2 uk28 iu21 gn2 in25 ts2 ung23 f2 ung21 m2 oo25
135.wav|tsch2 iang22 m2 un23 gn2 ia21 k2 e23 k2 a21 tsh2 uk28 t2 u22 iu21 gn2 in25 t2 et24 k2 oo23 v2 i25 tsh2 oon25 sc2 in23 k2 e23 ph2 iang23 m2 oo25
136.wav|ng2 ai25 m25 t2 i21
137.wav|n2 ai23 t2 eu21 ph2 iang23 h2 e23 v2 i25 tsh2 oon25 sc2 in23 k2 e23 ph2 iang23
138.wav|tsch2 ioong23 k2 oo21 h2 iet24 ap24 th2 oong25 gn2 iau23 ph2 iang23 th2 ung23 f2 ung21 ng2 am25 ts2 irn23 tsc2 in21 s2 irn25 ph2 iang23 ia22 t2 eu21 tsch2 iu23 h2 e23
139.wav|ts2 ung23 f2 ung21 iu21 s2 oon23 m2 oo25
140.wav|m2 e23 s2 oon23 h2 e23 gn2 ia21 k2 e23 k2 a21 tsh2 uk28 iu21 m2 a22 gn2 in25 s2 irt24 t2 et24 k2 oo23 ts2 ung23 f2 ung21
141.wav|ng2 a21 k2 ung21 t2 i23 s2 am21 gn2 ien25 tsch2 ien25 s2 irt24 ts2 ung23 f2 ung21
142.wav|h2 an25 iu21 kh2 i25 th2 a21 k2 e23 gn2 in25 s2 irt24 t2 et24 k2 oo23 v2 i25 tsh2 oon25 sc2 in23 k2 e23 ph2 iang23 m2 oo25
143.wav|ng2 a21 a21 p2 ak24 l2 au21 a21 s2 uk24 th2 ang21 k2 oong22 iu21 k2 oo21 h2 iet24 ap24
144.wav|ng2 ai25 s2 oo22 t2 i21 tsch2 iu23 an22 gn2 ioong25 th2 in23 th2 in23
145.wav|gn2 ia21 k2 e23 k2 a21 tsh2 uk28 iu21 gn2 in25 t2 et24 k2 oo23 th2 oong25 gn2 iau23 ph2 iang23 m2 oo25
146.wav|ng2 a21 k2 ung21 t2 et24 k2 oo23 th2 oong25 gn2 iau23 ph2 iang23
147.wav|h2 an25 iu21 kh2 i25 th2 a21 k2 e23 gn2 in25 m2 oo25
148.wav|ia22 l2 au21 ng2 a21 ph2 iang23 iu21 k2 uan21 h2 e23 h2 e23 m2 oo25
149.wav|in21 v2 i23 th2 oong25 gn2 iau23 ph2 iang23 v2 ooi23 iang22 h2 ioong22 t2 oo22 ph2 iang23 k2 e23 tsh2 ir23 l2 iau25
150.wav|k2 i25 h2 e23 v2 i25 tsh2 oon25 ph2 iang23 k2 e23 it24 ts2 ung22 en21 l2 i22 ooi23 sc2 ien21 l2 iau22 k2 ie22
151.wav|ng2 a21 a21 i25 iu21 tsh2 ook28 k2 oo23 ng2 am25 ts2 irn23
152.wav|tsch2 iang22 m2 un23 h2 e23 tsh2 ook28 t2 oo23 n2 ai23 ts2 ung22 ng2 am25 ts2 irn23
153.wav|k2 i25 h2 e23 k2 oon21 ng2 am25
154.wav|tsch2 iang22 m2 un23 ia22 l2 au21 ng2 a21 ph2 iang23 iu21 k2 uan21 h2 e23 h2 e23 m2 oo25
155.wav|t2 i23 tsh2 ir23 l2 iau25 k2 e23 k2 oo23 tsh2 ang25 t2 oong21 ts2 ung21 en21 l2 i22 ooi23 sc2 ien21 l2 iau22 k2 ie22 gn2 ia21 k2 e23 k2 a21 tsh2 uk28 ph2 iang23 s2 ir22
156.wav|an22 gn2 ioong25 ts2 ang23 ts2 oo23 t2 et24 th2 i25 k2 iung21 n25 h2 a23 s2 irt24 t2 oong21 k2 e23 tsh2 ir23 l2 iau25
157.wav|n25 ia22 h2 a23 iu21 tsh2 oong25 kh2 i25 s2 irt28 m2 a22 k2 e23 iook28 e22 m2 oo25
158.wav|n25 s2 oo22 s2 irt28 k2 e23 h2 e23 m2 a22 k2 e23 iook28 e22
159.wav|n25 k2 i22 k2 iu22 s2 irt28 it24 t2 oo23 iook28 e22
160.wav|n25 iu21 t2 ui23 m2 a22 k2 e23 iook28 e22 v2 ooi23 k2 oo23 m2 en22 m2 oo25
161.wav|n25 s2 irt28 k2 e23 iook28 e22 h2 e23 gn2 ioong22 p2 an21 l2 ooi25 k2 e23
162.wav|n25 t2 i21 iook28 e22 k2 e23 ts2 ook24 iung23 m2 oo25
163.wav|n25 t2 i21 iook28 e22 k2 e23 f2 u23 ts2 ook24 iung23 m2 oo25
164.wav|n25 l2 iau22 k2 ie22 iook28 e22 k2 e23 s2 irt28 k2 e23 f2 oong21 f2 ap24 m2 oo25
165.wav|n25 k2 am22 t2 i21 s2 irt28 iook28 e22 h2 e23 tsh2 ut24 h2 ien23 f2 u23 ts2 ook24 iung23 k2 e23 s2 ir25 tsc2 iet24 ooi23 gn2 ioong22 p2 an21 m2 oo25
166.wav|tsch2 iang22 m2 un23 n25 h2 e23 m25 h2 e23 iu21 tsh2 oong25 kh2 i25 s2 irt28 iook28 e22
167.wav|oon21 m2 in25 iook28 iu21 s2 oon23 m2 oo25
168.wav|m2 e23 s2 oon23 n25 ts2 oo23 m2 a22 k2 e23 ooi23 s2 irt28 oon21 m2 in25 iook28
169.wav|in21 v2 i23 s2 ooi23 m25 t2 et24
170.wav|k2 i22 k2 iu22 s2 irt28 it24 t2 oo23
171.wav|it24 p2 an21 h2 e23 s2 am21 gn2 it24 s2 irt28 it24 t2 oo23
172.wav|ia22 oon21 m2 in25 iook28 h2 e23 gn2 ioong22 p2 an21 l2 ooi25 k2 e23
173.wav|h2 e23 t2 oo23 i21 ien23 kh2 oon23 ts2 irn21 k2 e23 i21 s2 ir21 kh2 ooi21 k2 e23
174.wav|tsch2 in25 kh2 oong22 iu21 h2 a23 k2 ooi22 s2 an23 m2 oo25
175.wav|iu21 ia22 h2 a23 h2 a23 h2 oo22 s2 ooi23
176.wav|n25 s2 irt28 iook28 e22 k2 e23 s2 ir25 tsc2 iet24 k2 am22 s2 irt24 v2 ooi23 iu21 k2 oo23 m2 en22
177.wav|m2 a22 k2 e23 tsch2 in25 kh2 oong22 ts2 ang23 s2 oon23 h2 e23 k2 oo23 m2 en22
178.wav|p2 i22 l2 un23 k2 oong22 ph2 i25 f2 u21 v2 ooi23 h2 i22 f2 ung25 ts2 irn22 v2 ooi23 ioong21 th2 eu22 h2 i23 v2 ooi23 kh2 un23 n2 an25 h2 iet24 ap24 p2 ien23 f2 a23 k2 iak24 f2 at24 s2 eu21 t2 en22
179.wav|ng2 ai25 sc2 ioong22 h2 e23 m25 s2 irt24 iu21 k2 oo23
180.wav|m25 k2 oo23 iu21 s2 ang25 s2 ir25 v2 ooi23 oo21 l2 i23 t2 u22
181.wav|ia22 h2 e23 s2 irt28 iook28 e22 k2 e23 f2 u23 ts2 ook24 iung23 m2 oo25
182.wav|ng2 ai25 tsh2 ir23 kh2 oon23 n25 s2 oo22 s2 irt28 k2 e23 iook28 e22
183.wav|ia22 t2 eu21 iook28 e22 m25 v2 ooi23 tsh2 oo23 s2 irn25 oo21 l2 i23 t2 u22
184.wav|n25 iu21 s2 irt28 t2 oo23 n2 ai23 t2 eu21 m25 tsch2 i21 k2 e23 t2 ung21 sc2 i21 m2 oo25
185.wav|ng2 ai25 m25 k2 i23 t2 et24
186.wav|k2 e23 n25 s2 irt28 t2 ung21 sc2 i21 ooi23 th2 it28 ph2 iet28 ts2 u23 i23
187.wav|n25 t2 i21 m2 uk24 tsch2 ien25 s2 oo22 s2 irt28 k2 e23 iook28 e22 k2 e23 ts2 ook24 iung23 m2 oo25
188.wav|iu21 k2 oong23 t2 ai21 h2 iet24 th2 oong25 k2 oong23 t2 ai21 h2 iet24 ap24 l2 au21 it24 ts2 ir23 v2 i23 s2 oon21 k2 e23 ts2 ook24 iung23
189.wav|f2 u23 ts2 ook24 iung23 n2 e25
190.wav|ooi23 ts2 u23 i23 h2 iet24 th2 oong25 h2 iet24 ap24 h2 e23 m25 h2 e23 v2 ooi23 th2 ioong22 t2 ai21 l2 au21 p2 i23 k2 iet24 k2 e23 tsch2 in25 h2 in25
191.wav|h2 e23 k2 oong22 f2 u23 ts2 ook24 iung23 tsh2 ut24 h2 ien23 ooi23 gn2 ioong22 p2 an21 tsh2 u22 l2 i21
192.wav|h2 iet24 th2 oong25 h2 iet24 ap24 h2 e23 th2 ioong22 t2 ai21 ooi23 ts2 oon22 i21 ien23 th2 iau25 ts2 irn22 iook28 e22
193.wav|iu21 p2 i23 k2 iet24 ooi23 t2 oo21 s2 irt28 k2 oo21 sc2 ien21 v2 i25 k2 e23 s2 irt28 v2 ut28 t2 oo21 l2 im21 s2 ui22 h2 an25 k2 oo23 s2 irt24 t2 oong21 k2 e23 iun23 th2 ung23
194.wav|n25 h2 e23 ts2 oo23 t2 et24 oon23 s2 ir25 s2 irt28 in23 k2 ooi21 ts2 oo23 t2 et24 kh2 ung22 ts2 ir23 t2 oo23 t2 oong21 h2 oo22
195.wav|n25 iu21 m2 a22 k2 e23 t2 ung21 sc2 i21 ts2 oo23 m25 t2 et24 s2 irt28 k2 e23 m2 oo25
196.wav|n25 h2 a23 h2 au23 s2 irt28 m2 a22 k2 e23 t2 ung21 sc2 i21
197.wav|n25 m25 h2 au23 s2 irt28 k2 e23 t2 ung21 sc2 i21 h2 e23 m2 a22 k2 e23
198.wav|n25 h2 e23 m25 h2 e23 iu21 t2 ui23 m2 a22 k2 e23 s2 irt28 v2 ut28 v2 ooi23 k2 oo23 m2 en22
199.wav|n25 t2 ui23 n2 ai23 t2 eu21 s2 irt28 v2 ut28 v2 ooi23 k2 oo23 m2 en22
200.wav|tsch2 iang22 m2 un23 n25 iu21 m2 a22 k2 e23 t2 ung21 sc2 i21 ts2 oo23 m25 t2 et24 s2 irt28 m2 oo25
201.wav|h2 e23 n2 ai23 t2 eu21 h2 an23 ts2 ir23
